Ref_Date,GEO,FORCE,NORTH,Vector,Coordinate,Value
1990/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14242.1
1990/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14262.0
1990/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14307.6
1990/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14299.4
1990/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14291.6
1990/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14289.7
1991/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14291.8
1991/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14297.0
1991/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14308.8
1991/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14326.1
1991/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14347.1
1991/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14396.7
1991/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14383.0
1991/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14388.0
1991/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14333.3
1991/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14340.6
1991/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14304.1
1991/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14286.1
1992/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14280.1
1992/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14268.0
1992/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14299.2
1992/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14260.9
1992/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14301.4
1992/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14350.5
1992/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14354.1
1992/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14371.5
1992/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14368.2
1992/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14347.2
1992/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14453.6
1992/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14404.7
1993/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14359.1
1993/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14333.2
1993/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14390.3
1993/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14417.0
1993/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14431.6
1993/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14469.7
1993/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14470.8
1993/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14430.9
1993/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14505.0
1993/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14453.5
1993/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14505.3
1993/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14496.1
1994/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14513.2
1994/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14492.1
1994/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14458.4
1994/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14527.7
1994/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14565.8
1994/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14543.5
1994/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14564.7
1994/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14601.3
1994/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14664.8
1994/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14626.2
1994/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14676.6
1994/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14653.2
1995/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14672.0
1995/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14662.7
1995/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14719.6
1995/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14656.5
1995/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14660.6
1995/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14672.9
1995/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14698.9
1995/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14701.6
1995/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14688.1
1995/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14716.6
1995/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14672.0
1995/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14736.5
1996/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14769.6
1996/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14810.2
1996/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14790.3
1996/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14780.8
1996/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14793.6
1996/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14866.2
1996/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14891.6
1996/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14859.5
1996/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14889.6
1996/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14892.2
1996/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14912.8
1996/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14918.8
1997/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14951.9
1997/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14961.8
1997/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14968.1
1997/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,14986.5
1997/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15045.2
1997/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15066.2
1997/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15075.9
1997/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15143.7
1997/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15155.2
1997/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15180.5
1997/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15205.8
1997/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15158.0
1998/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15202.8
1998/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15217.1
1998/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15222.9
1998/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15238.5
1998/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15257.6
1998/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15284.1
1998/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15333.4
1998/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15341.4
1998/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15405.4
1998/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15392.5
1998/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15439.2
1998/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15459.0
1999/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15499.4
1999/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15486.6
1999/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15497.7
1999/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15592.5
1999/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15591.5
1999/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15553.3
1999/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15610.2
1999/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15610.6
1999/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15645.9
1999/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15640.3
1999/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15633.5
1999/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15671.1
2000/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15720.8
2000/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15753.3
2000/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15779.8
2000/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15787.2
2000/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15783.8
2000/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15807.8
2000/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15818.5
2000/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15883.5
2000/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15916.3
2000/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15955.7
2000/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15982.1
2000/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16003.2
2001/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,15994.4
2001/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16004.4
2001/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16033.2
2001/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16066.9
2001/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16076.9
2001/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16085.1
2001/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16083.9
2001/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16112.4
2001/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16131.5
2001/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16159.8
2001/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16199.7
2001/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16276.1
2002/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16326.8
2002/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16334.7
2002/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16402.6
2002/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16438.8
2002/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16502.9
2002/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16556.3
2002/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16591.7
2002/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16650.8
2002/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16682.2
2002/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16684.3
2002/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16722.4
2002/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16776.3
2003/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16791.0
2003/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16854.1
2003/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16842.0
2003/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16884.6
2003/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16903.6
2003/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16910.4
2003/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16943.6
2003/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,16980.7
2003/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17024.5
2003/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17022.7
2003/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17043.9
2003/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17062.9
2004/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17059.1
2004/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17088.4
2004/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17097.0
2004/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17120.1
2004/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17123.3
2004/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17165.8
2004/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17136.1
2004/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17121.5
2004/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17174.1
2004/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17208.6
2004/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17247.0
2004/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17246.8
2005/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17210.6
2005/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17266.1
2005/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17235.5
2005/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17238.9
2005/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17275.6
2005/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17280.4
2005/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17288.0
2005/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17328.5
2005/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17328.3
2005/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17372.3
2005/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17333.9
2005/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17373.8
2006/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17363.7
2006/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17377.1
2006/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17417.5
2006/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17440.5
2006/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17490.3
2006/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17491.1
2006/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17549.6
2006/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17555.1
2006/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17583.1
2006/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17554.6
2006/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17602.4
2006/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17644.6
2007/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17725.6
2007/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17739.8
2007/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17781.9
2007/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17773.0
2007/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17762.9
2007/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17839.1
2007/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17871.3
2007/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17869.7
2007/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17904.8
2007/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17954.5
2007/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,17996.2
2007/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18004.1
2008/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18016.2
2008/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18071.6
2008/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18081.2
2008/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18092.4
2008/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18098.0
2008/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18079.8
2008/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18088.9
2008/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18106.3
2008/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18176.6
2008/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18223.1
2008/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18178.5
2008/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18199.2
2009/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18167.3
2009/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18223.2
2009/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18236.3
2009/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18222.5
2009/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18247.6
2009/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18259.8
2009/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18257.0
2009/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18263.7
2009/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18240.1
2009/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18251.0
2009/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18362.5
2009/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18337.3
2010/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18346.0
2010/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18358.4
2010/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18372.5
2010/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18433.6
2010/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18429.8
2010/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18483.3
2010/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18501.8
2010/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18534.8
2010/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18497.2
2010/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18473.8
2010/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18461.9
2010/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18502.8
2011/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18583.3
2011/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18570.8
2011/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18590.3
2011/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18620.3
2011/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18577.6
2011/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18624.8
2011/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18609.5
2011/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18633.4
2011/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18658.3
2011/10,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18644.9
2011/11,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18667.9
2011/12,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18679.7
2012/01,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18695.6
2012/02,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18654.8
2012/03,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18723.1
2012/04,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18815.4
2012/05,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18816.4
2012/06,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18799.6
2012/07,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18791.6
2012/08,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18829.2
2012/09,Canada,Labour force,"Total, all industries (x 1,000)",v13682054,1.1.1,18881.3
