industry,sector
Manufacturing,Retail Bakeries
Manufacturing,Commercial Bakeries and Frozen Bakery Product Manufacturing
Manufacturing,"Cookie, Cracker and Pasta Manufacturing"
Manufacturing,Cookie and Cracker Manufacturing
Manufacturing,Flour Mixes and Dough Manufacturing from Purchased Flour
Manufacturing,Dry Pasta Manufacturing
Manufacturing,Tortilla Manufacturing
Manufacturing,Other Food Manufacturing
Manufacturing,Snack Food Manufacturing
Manufacturing,Roasted Nut and Peanut Butter Manufacturing
Manufacturing,Other Snack Food Manufacturing
Manufacturing,Coffee and Tea Manufacturing
Manufacturing,Flavouring Syrup and Concentrate Manufacturing
Manufacturing,Seasoning and Dressing Manufacturing
Manufacturing,All Other Food Manufacturing
Manufacturing,Beverage and Tobacco Product Manufacturing
Manufacturing,Beverage Manufacturing
Manufacturing,Soft Drink and Ice Manufacturing
Manufacturing,Breweries
Manufacturing,Wineries
Manufacturing,Distilleries
Manufacturing,Tobacco Manufacturing
Manufacturing,Tobacco Stemming and Redrying
Manufacturing,Tobacco Product Manufacturing
Manufacturing,Textile Mills
Manufacturing,"Fibre, Yarn and Thread Mills"
Manufacturing,Fabric Mills
Manufacturing,Broad-Woven Fabric Mills
Manufacturing,Narrow Fabric Mills and Schiffli Machine Embroidery
Manufacturing,Nonwoven Fabric Mills
Manufacturing,Knit Fabric Mills
Manufacturing,Textile and Fabric Finishing and Fabric Coating
Manufacturing,Tobacco Product Manufacturing
Manufacturing,Textile Mills
Manufacturing,"Fibre, Yarn and Thread Mills"
Manufacturing,Fabric Mills
Manufacturing,Broad-Woven Fabric Mills
Manufacturing,Narrow Fabric Mills and Schiffli Machine Embroidery
Manufacturing,Nonwoven Fabric Mills
Manufacturing,Knit Fabric Mills
Manufacturing,Textile and Fabric Finishing and Fabric Coating
Manufacturing,Textile and Fabric Finishing
Manufacturing,Fabric Coating
Manufacturing,Textile Product Mills
Manufacturing,Textile Furnishings Mills
Manufacturing,Carpet and Rug Mills
Manufacturing,Curtain and Linen Mills
Manufacturing,Other Textile Product Mills
Manufacturing,Textile Bag and Canvas Mills
Manufacturing,All Other Textile Product Mills
Manufacturing,Clothing Manufacturing
Manufacturing,Clothing Knitting Mills
Manufacturing,Hosiery and Sock Mills
Manufacturing,Other Clothing Knitting Mills
Manufacturing,Cut and Sew Clothing Manufacturing
Manufacturing,Cut and Sew Clothing Contracting
Manufacturing,Men's and Boys' Cut and Sew Clothing Manufacturing
Manufacturing,Men's and Boys' Cut and Sew Underwear and Nightwear Manufacturing
Manufacturing,"Men's and Boys' Cut and Sew Suit, Coat and Overcoat Manufacturing"
Manufacturing,Men's and Boys' Cut and Sew Shirt Manufacturing
Manufacturing,"Men's and Boys' Cut and Sew Trouser, Slack and Jean Manufacturing"
Manufacturing,Other Men's and Boys' Cut and Sew Clothing Manufacturing
Manufacturing,Women's and Girls' Cut and Sew Clothing Manufacturing
Manufacturing,"Women's and Girls' Cut and Sew Lingerie, Loungewear and Nightwear Manufacturing"
Manufacturing,Women's and Girls' Cut and Sew Blouse and Shirt Manufacturing
Manufacturing,Women's and Girls' Cut and Sew Dress Manufacturing
Manufacturing,"Women's and Girls' Cut and Sew Suit, Coat, Tailored Jacket and Skirt Manufacturing"
Manufacturing,Other Women's and Girls' Cut and Sew Clothing Manufacturing
Manufacturing,Other Cut and Sew Clothing Manufacturing
Manufacturing,Infants' Cut and Sew Clothing Manufacturing
Manufacturing,Fur and Leather Clothing Manufacturing
Manufacturing,All Other Cut and Sew Clothing Manufacturing
Manufacturing,Clothing Accessories and Other Clothing Manufacturing
Manufacturing,Leather and Allied Product Manufacturing
Manufacturing,Leather and Hide Tanning and Finishing
Manufacturing,Footwear Manufacturing
Manufacturing,Other Leather and Allied Product Manufacturing
Manufacturing,Wood Product Manufacturing
Manufacturing,Sawmills and Wood Preservation
Manufacturing,Sawmills (except Shingle and Shake Mills)
Manufacturing,Shingle and Shake Mills
Manufacturing,Wood Preservation
Manufacturing,"Veneer, Plywood and Engineered Wood Product Manufacturing"
Manufacturing,Hardwood Veneer and Plywood Mills
Manufacturing,Softwood Veneer and Plywood Mills
Manufacturing,Structural Wood Product Manufacturing
Manufacturing,Particle Board and Fibreboard Mills
Manufacturing,Waferboard Mills
Manufacturing,Other Wood Product Manufacturing
Manufacturing,Millwork
Manufacturing,Wood Window and Door Manufacturing
Manufacturing,Other Millwork
Manufacturing,Wood Container and Pallet Manufacturing
Manufacturing,All Other Wood Product Manufacturing
Manufacturing,Manufactured (Mobile) Home Manufacturing
Manufacturing,Prefabricated Wood Building Manufacturing
Manufacturing,All Other Miscellaneous Wood Product Manufacturing
Manufacturing,Paper Manufacturing
Manufacturing,"Pulp, Paper and Paperboard Mills"
Manufacturing,Pulp Mills
Manufacturing,Mechanical Pulp Mills
Manufacturing,Chemical Pulp Mills
Manufacturing,Paper Mills
Manufacturing,Paper (except Newsprint) Mills
Manufacturing,Newsprint Mills
Manufacturing,Paperboard Mills
Manufacturing,Converted Paper Product Manufacturing
Manufacturing,Paperboard Container Manufacturing
Manufacturing,Corrugated and Solid Fibre Box Manufacturing
Manufacturing,Folding Paperboard Box Manufacturing
Manufacturing,Other Paperboard Container Manufacturing
Manufacturing,Paper Bag and Coated and Treated Paper Manufacturing
Manufacturing,Stationery Product Manufacturing
Manufacturing,Other Converted Paper Product Manufacturing
Manufacturing,Sanitary Paper Product Manufacturing
Manufacturing,All Other Converted Paper Product Manufacturing
Manufacturing,Printing and Related Support Activities
Manufacturing,Printing
Manufacturing,Commercial Screen Printing
Manufacturing,Quick Printing
Manufacturing,Digital Printing
Manufacturing,Manifold Business Forms Printing
Manufacturing,Other Printing
Manufacturing,Support Activities for Printing
Manufacturing,Petroleum and Coal Product Manufacturing
Manufacturing,Petroleum Refineries
Manufacturing,"Asphalt Paving, Roofing and Saturated Materials Manufacturing"
Manufacturing,Asphalt Shingle and Coating Material Manufacturing
Manufacturing,Other Petroleum and Coal Product Manufacturing
Manufacturing,Chemical Manufacturing
Manufacturing,Basic Chemical Manufacturing
Manufacturing,Petrochemical Manufacturing
Manufacturing,Industrial Gas Manufacturing
Manufacturing,Synthetic Dye and Pigment Manufacturing
Manufacturing,Other Basic Inorganic Chemical Manufacturing
Manufacturing,Alkali and Chlorine Manufacturing
Manufacturing,All Other Basic Inorganic Chemical Manufacturing
Manufacturing,Other Basic Organic Chemical Manufacturing
Manufacturing,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibres and Filaments Manufacturing"
Manufacturing,Resin and Synthetic Rubber Manufacturing
Manufacturing,Artificial and Synthetic Fibres and Filaments Manufacturing
Manufacturing,"Pesticide, Fertilizer and Other Agricultural Chemical Manufacturing"
Manufacturing,Fertilizer Manufacturing
Manufacturing,Chemical Fertilizer (except Potash) Manufacturing
Manufacturing,Mixed Fertilizer Manufacturing
Manufacturing,Pesticide and Other Agricultural Chemical Manufacturing
Manufacturing,Pharmaceutical and Medicine Manufacturing
Manufacturing,Pharmaceutical and Medicine Manufacturing
Manufacturing,"Paint, Coating and Adhesive Manufacturing"
Manufacturing,Paint and Coating Manufacturing
Manufacturing,Adhesive Manufacturing
Manufacturing,"Soap, Cleaning Compound and Toilet Preparation Manufacturing"
Manufacturing,Soap and Cleaning Compound Manufacturing
Manufacturing,Toilet Preparation Manufacturing
Manufacturing,Other Chemical Product Manufacturing
Manufacturing,Printing Ink Manufacturing
Manufacturing,Explosives Manufacturing
Manufacturing,All Other Chemical Product Manufacturing
Manufacturing,Custom Compounding of Purchased Resins
Manufacturing,All Other Miscellaneous Chemical Product Manufacturing
Manufacturing,Plastics and Rubber Products Manufacturing
Manufacturing,Plastic Product Manufacturing
Manufacturing,Plastic Packaging Materials and Unlaminated Film and Sheet Manufacturing
Manufacturing,Plastic Bag and Pouch Manufacturing
Manufacturing,Plastic Film and Sheet Manufacturing
Manufacturing,"Plastic Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing"
Manufacturing,Unlaminated Plastic Profile Shape Manufacturing
Manufacturing,Plastic Pipe and Pipe Fitting Manufacturing
Manufacturing,"Laminated Plastic Plate, Sheet (except Packaging), and Shape Manufacturing"
Manufacturing,Polystyrene Foam Product Manufacturing
Manufacturing,Urethane and Other Foam Product (except Polystyrene) Manufacturing
Manufacturing,Plastic Bottle Manufacturing
Manufacturing,Other Plastic Product Manufacturing
Manufacturing,Plastic Plumbing Fixture Manufacturing
Manufacturing,Motor Vehicle Plastic Parts Manufacturing
Manufacturing,Plastic Window and Door Manufacturing
Manufacturing,All Other Plastic Product Manufacturing
Manufacturing,Rubber Product Manufacturing
Manufacturing,Tire Manufacturing
Manufacturing,Rubber and Plastic Hose and Belting Manufacturing
Manufacturing,Other Rubber Product Manufacturing
Manufacturing,Non-Metallic Mineral Product Manufacturing
Manufacturing,Clay Product and Refractory Manufacturing
Manufacturing,"Pottery, Ceramics and Plumbing Fixture Manufacturing"
Manufacturing,Clay Building Material and Refractory Manufacturing
Manufacturing,Glass and Glass Product Manufacturing
Manufacturing,Glass and Glass Product Manufacturing
Manufacturing,Glass Manufacturing
Manufacturing,Glass Product Manufacturing from Purchased Glass
Manufacturing,Cement and Concrete Product Manufacturing
Manufacturing,Cement Manufacturing
Manufacturing,Ready-Mix Concrete Manufacturing
Manufacturing,"Concrete Pipe, Brick and Block Manufacturing"
Manufacturing,Other Concrete Product Manufacturing
Manufacturing,Lime and Gypsum Product Manufacturing
Manufacturing,Lime Manufacturing
Manufacturing,Gypsum Product Manufacturing
Manufacturing,Other Non-Metallic Mineral Product Manufacturing
Manufacturing,Abrasive Product Manufacturing
Manufacturing,All Other Non-Metallic Mineral Product Manufacturing
Manufacturing,Primary Metal Manufacturing
Manufacturing,Iron and Steel Mills and Ferro-Alloy Manufacturing
Manufacturing,Steel Product Manufacturing from Purchased Steel
Manufacturing,Iron and Steel Pipes and Tubes Manufacturing from Purchased Steel
Manufacturing,Rolling and Drawing of Purchased Steel
Manufacturing,Cold-Rolled Steel Shape Manufacturing
Manufacturing,Steel Wire Drawing
Manufacturing,Alumina and Aluminum Production and Processing
Manufacturing,Primary Production of Alumina and Aluminum
Manufacturing,"Aluminum Rolling, Drawing, Extruding and Alloying"
Manufacturing,Non-Ferrous Metal (except Aluminum) Production and Processing
Manufacturing,Non-Ferrous Metal (except Aluminum) Smelting and Refining
Manufacturing,"Copper Rolling, Drawing, Extruding and Alloying"
Manufacturing,"Non-Ferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding and Alloying"
Manufacturing,Foundries
Manufacturing,Ferrous Metal Foundries
Manufacturing,Iron Foundries
Manufacturing,Steel Foundries
Manufacturing,Non-Ferrous Metal Foundries
Manufacturing,Non-Ferrous Die-Casting Foundries
Manufacturing,Non-Ferrous Foundries (except Die-Casting)
Manufacturing,Fabricated Metal Product Manufacturing
Manufacturing,Forging and Stamping
Manufacturing,Forging
Manufacturing,Stamping
Manufacturing,Cutlery and Hand Tool Manufacturing
Manufacturing,Architectural and Structural Metals Manufacturing
Manufacturing,Plate Work and Fabricated Structural Product Manufacturing
Manufacturing,Prefabricated Metal Building and Component Manufacturing
Manufacturing,Concrete Reinforcing Bar Manufacturing
Manufacturing,Other Plate Work and Fabricated Structural Product Manufacturing
Manufacturing,Ornamental and Architectural Metal Product Manufacturing
Manufacturing,Metal Window and Door Manufacturing
Manufacturing,Other Ornamental and Architectural Metal Product Manufacturing
Manufacturing,"Boiler, Tank and Shipping Container Manufacturing"
Manufacturing,Power Boiler and Heat Exchanger Manufacturing
Manufacturing,Metal Tank (Heavy Gauge) Manufacturing
Manufacturing,"Metal Can, Box and Other Metal Container (Light Gauge) Manufacturing"
Manufacturing,Metal Can Manufacturing
Manufacturing,Other Metal Container Manufacturing
Manufacturing,Hardware Manufacturing
Manufacturing,Spring and Wire Product Manufacturing
Manufacturing,Spring (Heavy Gauge) Manufacturing
Manufacturing,Other Fabricated Wire Product Manufacturing
Manufacturing,"Machine Shops, Turned Product, and Screw, Nut and Bolt Manufacturing"
Manufacturing,Machine Shops
Manufacturing,"Turned Product and Screw, Nut and Bolt Manufacturing"
Manufacturing,"Coating, Engraving, Heat Treating and Allied Activities"
Manufacturing,Other Fabricated Metal Product Manufacturing
Manufacturing,Metal Valve Manufacturing
Manufacturing,All Other Fabricated Metal Product Manufacturing
Manufacturing,Ball and Roller Bearing Manufacturing
Manufacturing,All Other Miscellaneous Fabricated Metal Product Manufacturing
Manufacturing,Machinery Manufacturing
Manufacturing,"Agricultural, Construction and Mining Machinery Manufacturing"
Manufacturing,Agricultural Implement Manufacturing
Manufacturing,Construction Machinery Manufacturing
Manufacturing,Mining and Oil and Gas Field Machinery Manufacturing
Manufacturing,Industrial Machinery Manufacturing
Manufacturing,Sawmill and Woodworking Machinery Manufacturing
Manufacturing,Rubber and Plastics Industry Machinery Manufacturing
Manufacturing,Other Industrial Machinery Manufacturing
Manufacturing,Paper Industry Machinery Manufacturing
Manufacturing,All Other Industrial Machinery Manufacturing
Manufacturing,Commercial and Service Industry Machinery Manufacturing
Manufacturing,Commercial and Service Industry Machinery Manufacturing
Manufacturing,"Ventilation, Heating, Air-Conditioning and Commercial Refrigeration Equipment Manufacturing"
Manufacturing,"Ventilation, Heating, Air-Conditioning and Commercial Refrigeration Equipment Manufacturing"
Manufacturing,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
Manufacturing,Heating Equipment and Commercial Refrigeration Equipment Manufacturing
Manufacturing,Metalworking Machinery Manufacturing
Manufacturing,Metalworking Machinery Manufacturing
Manufacturing,Industrial Mould Manufacturing
Manufacturing,Other Metalworking Machinery Manufacturing
Manufacturing,"Engine, Turbine and Power Transmission Equipment Manufacturing"
Manufacturing,Turbine and Turbine Generator Set Unit Manufacturing
Manufacturing,Other Engine and Power Transmission Equipment Manufacturing
Manufacturing,Other General-Purpose Machinery Manufacturing
Manufacturing,Pump and Compressor Manufacturing
Manufacturing,Material Handling Equipment Manufacturing
Manufacturing,All Other General-Purpose Machinery Manufacturing
Manufacturing,Computer and Electronic Product Manufacturing
Manufacturing,Computer and Peripheral Equipment Manufacturing
Manufacturing,Communications Equipment Manufacturing
Manufacturing,Telephone Apparatus Manufacturing
Manufacturing,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
Manufacturing,Other Communications Equipment Manufacturing
Manufacturing,Audio and Video Equipment Manufacturing
Manufacturing,Semiconductor and Other Electronic Component Manufacturing
Manufacturing,"Navigational, Measuring, Medical and Control Instruments Manufacturing"
Manufacturing,Navigational and Guidance Instruments Manufacturing
Manufacturing,"Measuring, Medical and Controlling Devices Manufacturing"
Manufacturing,Manufacturing and Reproducing Magnetic and Optical Media
Manufacturing,"Electrical Equipment, Appliance and Component Manufacturing"
Manufacturing,Electric Lighting Equipment Manufacturing
Manufacturing,Electric Lamp Bulb and Parts Manufacturing
Manufacturing,Lighting Fixture Manufacturing
Manufacturing,Household Appliance Manufacturing
Manufacturing,Small Electrical Appliance Manufacturing
Manufacturing,Major Appliance Manufacturing
Manufacturing,Major Kitchen Appliance Manufacturing
Manufacturing,Other Major Appliance Manufacturing
Manufacturing,Electrical Equipment Manufacturing
Manufacturing,Electrical Equipment Manufacturing
Manufacturing,"Power, Distribution and Specialty Transformers Manufacturing"
Manufacturing,Motor and Generator Manufacturing
Manufacturing,"Switchgear and Switchboard, and Relay and Industrial Control Apparatus Manufacturing"
Manufacturing,Other Electrical Equipment and Component Manufacturing
Manufacturing,Battery Manufacturing
Manufacturing,Communication and Energy Wire and Cable Manufacturing
Manufacturing,Wiring Device Manufacturing
Manufacturing,All Other Electrical Equipment and Component Manufacturing
Manufacturing,Transportation Equipment Manufacturing
Manufacturing,Motor Vehicle Manufacturing
Manufacturing,Automobile and Light-Duty Motor Vehicle Manufacturing
Manufacturing,Heavy-Duty Truck Manufacturing
Manufacturing,Motor Vehicle Body and Trailer Manufacturing
Manufacturing,Motor Vehicle Body Manufacturing
Manufacturing,Truck Trailer Manufacturing
Manufacturing,"Motor Home, Travel Trailer and Camper Manufacturing"
Manufacturing,Motor Vehicle Parts Manufacturing
Manufacturing,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
Manufacturing,Motor Vehicle Electrical and Electronic Equipment Manufacturing
Manufacturing,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
Manufacturing,Motor Vehicle Brake System Manufacturing
Manufacturing,Motor Vehicle Transmission and Power Train Parts Manufacturing
Manufacturing,Motor Vehicle Seating and Interior Trim Manufacturing
Manufacturing,Motor Vehicle Metal Stamping
Manufacturing,Other Motor Vehicle Parts Manufacturing
Manufacturing,Aerospace Product and Parts Manufacturing
Manufacturing,Railroad Rolling Stock Manufacturing
Manufacturing,Ship and Boat Building
Manufacturing,Ship Building and Repairing
Manufacturing,Boat Building
Manufacturing,Other Transportation Equipment Manufacturing
Manufacturing,Other Transportation Equipment Manufacturing
Manufacturing,Furniture and Related Product Manufacturing
Manufacturing,Household and Institutional Furniture and Kitchen Cabinet Manufacturing
Manufacturing,Wood Kitchen Cabinet and Counter Top Manufacturing
Manufacturing,Household and Institutional Furniture Manufacturing
Manufacturing,Upholstered Household Furniture Manufacturing
Manufacturing,Other Wood Household Furniture Manufacturing
Manufacturing,Household Furniture (except Wood and Upholstered) Manufacturing
Manufacturing,Institutional Furniture Manufacturing
Manufacturing,Office Furniture (including Fixtures) Manufacturing
Manufacturing,Office Furniture (including Fixtures) Manufacturing
Manufacturing,"Wood Office Furniture, including Custom Architectural Woodwork, Manufacturing"
Manufacturing,Office Furniture (except Wood) Manufacturing
Manufacturing,"Showcase, Partition, Shelving and Locker Manufacturing"
Manufacturing,Other Furniture-Related Product Manufacturing
Manufacturing,Mattress Manufacturing
Manufacturing,Blind and Shade Manufacturing
Manufacturing,Miscellaneous Manufacturing
Manufacturing,Medical Equipment and Supplies Manufacturing
Manufacturing,Medical Equipment and Supplies Manufacturing
Manufacturing,Other Miscellaneous Manufacturing
Manufacturing,Jewellery and Silverware Manufacturing
Manufacturing,Sporting and Athletic Goods Manufacturing
Manufacturing,"Doll, Toy and Game Manufacturing"
Manufacturing,Office Supplies (except Paper) Manufacturing
Manufacturing,Sign Manufacturing
Manufacturing,All Other Miscellaneous Manufacturing
Trade,Farm Product Merchant Wholesalers
Trade,Petroleum and Petroleum Product Merchant Wholesalers
Trade,"Food, Beverage, and Tobacco Merchant Wholesaler"
Trade,Food Merchant Wholesalers
Trade,Beverage Merchant Wholesalers
Trade,Cigarette and Tobacco Product Merchant Wholesalers
Trade,Personal and Household Goods Merchant Wholesaler
Trade,"Textile, Clothing, and Footwear Merchant Wholesalers"
Trade,Home Entertainment Equipment and Household Appliance Merchant Wholesalers
Trade,Home Furnishings Merchant Wholesalers
Trade,Personal Goods Merchant Wholesalers
Trade,"Pharmaceuticals, Toiletries, Cosmetics, and Sundries Merchant Wholesalers"
Trade,Motor Vehicle and Motor Vehicle Parts and Accessories Merchant Wholesalers
Trade,Motor Vehicle Merchant Wholesalers
Trade,New Motor Vehicle Parts and Accessories Merchant Wholesalers
Trade,Used Motor Vehicle Parts and Accessories Merchant Wholesalers
Trade,Building Material and Supplies Merchant Wholesalers
Trade,"Electrical, Plumbing, Heating, and Air-Conditioning Equipment and Supplies Merchant Wholesaler"
Trade,Metal Service Centres
Trade,"Machinery, Equipment and Supplies Merchant Wholesalers"
Trade,"Farm, Lawn, and Garden Machinery and Equipment Merchant Wholesalers"
Trade,"Construction, Forestry, Mining, and Industrial Machinery, Equipment and Supplies Merchant Wholesalers"
Trade,Computer and Communications Equipment and Supplies Merchant Wholesalers
Trade,Miscellaneous Merchant Wholesaler
Trade,Recyclable Material Merchant Wholesalers
Trade,"Paper, Paper Product, and Disposable Plastic Product Merchant Wholesalers"
Trade,Agricultural Supplies Merchant Wholesalers
Trade,Chemical (except Agricultural) and Allied Product Merchant Wholesalers
Trade,Other Miscellaneous Merchant Wholesalers
Trade,"Business-to-Business electronic markets, and agents and brokers"
Trade,Motor Vehicle and Parts Dealers
Trade,Automobile Dealers
Trade,Other Motor Vehicle Dealers
Trade,"Automotive Parts, Accessories, and Tire Stores"
Trade,Furniture and Home Furnishings Stores
Trade,Furniture Stores
Trade,Home Furnishings Stores
Trade,Electronics and Appliance Stores
Trade,Building Material and Garden Equipment and Supplies Dealers
Trade,Building Material and Supplies Dealers
Trade,Lawn and Garden Equipment and Supplies Stores
Trade,Food and Beverage Stores
Trade,Grocery Stores
Trade,Specialty Food Stores
Trade,"Beer, Wine, and Liquor Stores"
Trade,Health and Personal Care Stores
Trade,Gasoline Stations
Trade,Clothing and Clothing Accessories Stores
Trade,Clothing Stores
Trade,Shoe Stores
Trade,"Jewellery, Luggage and Leather Goods Stores"
Trade,"Sporting Goods, Hobby, Book and Music Stores"
Trade,"Sporting Goods, Hobby, and Musical Instrument Stores"
Trade,Book Stores and News Dealers
Trade,General Merchandise Stores
Trade,Department Stores
Trade,Other General Merchandise Stores
Trade,Miscellaneous Store Retailers
Trade,Florists
Trade,"Office Supplies, Stationery, and Gift Stores"
Trade,Used Merchandise Stores
Trade,Other Miscellaneous Store Retailers
Trade,Non-Store Retailers
Trade,Electronic Shopping and Mail-Order Houses
Trade,Vending Machine Operators
Trade,Direct Selling Establishments
Transportation and Warehousing,Air Transportation
Transportation and Warehousing,Scheduled Air Transportation
Transportation and Warehousing,Nonscheduled Air Transportation
Transportation and Warehousing,Rail Transportation
Transportation and Warehousing,Water Transportation
Transportation and Warehousing,"Deep Sea, Coastal, and Great Lakes Water Transportation"
Transportation and Warehousing,Inland Water Transportation
Transportation and Warehousing,Truck Transportation
Transportation and Warehousing,General Freight Trucking
Transportation and Warehousing,Specialized Freight Trucking
Transportation and Warehousing,Transit and Ground Passenger Transportation
Transportation and Warehousing,Urban Transit Systems
Transportation and Warehousing,Interurban and Rural Bus Transportation
Transportation and Warehousing,Taxi and Limousine Service
Transportation and Warehousing,School and Employee Bus Transportation
Transportation and Warehousing,Charter Bus Industry
Transportation and Warehousing,Other Transit and Ground Passenger Transportation
Transportation and Warehousing,Pipeline Transportation
Transportation and Warehousing,Pipeline Transportation of Crude Oil
Transportation and Warehousing,Pipeline Transportation of Natural Gas
Transportation and Warehousing,Other Pipeline Transportation
Transportation and Warehousing,Scenic and Sightseeing Transportation
Transportation and Warehousing,"Scenic and Sightseeing Transportation, Land"
Transportation and Warehousing,"Scenic and Sightseeing Transportation, Water"
Transportation and Warehousing,"Scenic and Sightseeing Transportation, Other"
Transportation and Warehousing,Support Activities for Transportation
Transportation and Warehousing,Support Activities for Air Transportation
Transportation and Warehousing,Support Activities for Rail Transportation
Transportation and Warehousing,Support Activities for Water Transportation
Transportation and Warehousing,Support Activities for Road Transportation
Transportation and Warehousing,Freight Transportation Arrangement
Transportation and Warehousing,Other Support Activities for Transportation
Transportation and Warehousing,Postal Service
Transportation and Warehousing,Postal Service
Transportation and Warehousing,Couriers and Messengers
Transportation and Warehousing,Couriers and Express Delivery Services
Transportation and Warehousing,Local Messengers and Local Delivery
Transportation and Warehousing,Warehousing and Storage
"Information, culture and recreation",Publishing Industries (Except Internet)
"Information, culture and recreation","Newspaper, Periodical, Book, and Directory Publishers"
"Information, culture and recreation",Software Publishers
"Information, culture and recreation",Motion Picture and Sound Recording Industries
"Information, culture and recreation",Motion Picture and Video Industries
"Information, culture and recreation",Sound Recording Industries
"Information, culture and recreation",Broadcasting (except Internet)
"Information, culture and recreation",Radio and Television Broadcasting
"Information, culture and recreation",Cable and Other Subscription Programming
"Information, culture and recreation",Telecommunications
"Information, culture and recreation",Wired Telecommunications Carriers
"Information, culture and recreation",Wireless Telecommunications Carriers (except Satellite)
"Information, culture and recreation",Satellite Telecommunications Carriers
"Information, culture and recreation",Other Telecommunications
"Information, culture and recreation","Data processing, Hosting, and Related Services"
"Information, culture and recreation",Other Information Services
"Information, culture and recreation","Arts, Entertainment and Recreation"
"Information, culture and recreation","Performing Arts, Spectator Sports and Related Industries"
"Information, culture and recreation",Performing Arts Companies
"Information, culture and recreation",Spectator Sports
"Information, culture and recreation","Promoters (Presenters) of Performing Arts, Sports and Similar Events"
"Information, culture and recreation","Agents and Managers for Artists, Athletes, Entertainers and Other Public Figures"
