Ref_Date,GEOGRAPHY,JOBTENURE,INDUSTRY,SEX,Value
2014/05,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,325.9
2014/06,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,319.7
2014/07,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,331.1
2014/08,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,326.8
2014/09,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,310.5
2014/10,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,307.8
2014/11,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,289.4
2014/12,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,287.0
2015/01,Canada,"Total employed, all months (x 1,000)",Agriculture,Both sexes,279.2
2010/01,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,305.5
2010/02,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,311.5
2010/03,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,305.7
2010/04,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,306.0
2010/05,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,328.4
2010/06,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,344.9
2010/07,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,351.4
2010/08,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,344.0
2010/09,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,334.5
2010/10,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,319.5
2010/11,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,319.3
2010/12,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,323.3
2011/01,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,321.7
2011/02,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,323.3
2011/03,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,324.1
2011/04,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,326.5
2011/05,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,347.4
2011/06,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,356.5
2011/07,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,351.7
2011/08,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,350.3
2011/09,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,345.0
2011/10,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,344.4
2011/11,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,341.4
2011/12,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,346.8
2012/01,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,349.4
2012/02,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,353.6
2012/03,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,351.5
2012/04,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,351.6
2012/05,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,376.6
2012/06,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,385.8
2012/07,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,385.3
2012/08,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,386.0
2012/09,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,366.7
2012/10,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,362.3
2012/11,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,360.1
2012/12,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,357.6
2013/01,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,352.8
2013/02,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,358.0
2013/03,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,351.7
2013/04,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,344.2
2013/05,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,375.0
2013/06,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,381.3
2013/07,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,385.0
2013/08,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,381.5
2013/09,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,375.0
2013/10,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,375.0
2013/11,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,374.9
2013/12,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,362.8
2014/01,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,360.6
2014/02,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,368.6
2014/03,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,366.7
2014/04,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,365.5
2014/05,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,368.7
2014/06,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,384.2
2014/07,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,381.2
2014/08,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,376.4
2014/09,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,383.1
2014/10,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,374.7
2014/11,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,370.8
2014/12,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,370.2
2015/01,Canada,"Total employed, all months (x 1,000)","Forestry, fishing, mining, quarrying, oil and gas",Both sexes,356.8
2010/01,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,136.2
2010/02,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,137.7
2010/03,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,138.9
2010/04,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,141.0
2010/05,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,145.9
2010/06,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,145.0
2010/07,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,146.9
2010/08,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,148.2
2010/09,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,145.5
2010/10,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,139.4
2010/11,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,135.6
2010/12,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,135.0
2011/01,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,132.8
2011/02,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,136.4
2011/03,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,136.8
2011/04,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,137.3
2011/05,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,146.0
2011/06,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,144.9
2011/07,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,144.2
2011/08,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,137.2
2011/09,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,131.1
2011/10,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,134.6
2011/11,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,133.6
2011/12,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,130.5
2012/01,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,127.8
2012/02,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,129.5
2012/03,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,130.7
2012/04,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,131.2
2012/05,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,131.4
2012/06,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,135.0
2012/07,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,134.6
2012/08,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,136.6
2012/09,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,137.1
2012/10,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,137.3
2012/11,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,137.0
2012/12,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,132.8
2013/01,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,126.5
2013/02,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,128.7
2013/03,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,128.9
2013/04,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,128.9
2013/05,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,133.2
2013/06,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,136.5
2013/07,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,137.1
2013/08,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,140.6
2013/09,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,141.3
2013/10,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,138.9
2013/11,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,139.4
2013/12,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,140.3
2014/01,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,137.8
2014/02,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,139.3
2014/03,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,137.1
2014/04,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,136.1
2014/05,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,137.7
2014/06,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,139.3
2014/07,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,136.7
2014/08,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,133.2
2014/09,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,133.2
2014/10,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,135.7
2014/11,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,138.2
2014/12,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,138.8
2015/01,Canada,"Total employed, all months (x 1,000)",Utilities,Both sexes,137.0
2010/01,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1109.9
2010/02,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1093.9
2010/03,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1111.1
2010/04,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1180.2
2010/05,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1259.8
2010/06,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1316.1
2010/07,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1327.7
2010/08,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1344.5
2010/09,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1307.4
2010/10,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1315.9
2010/11,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1299.6
2010/12,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1236.8
2011/01,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1161.5
2011/02,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1160.1
2011/03,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1167.5
2011/04,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1210.4
2011/05,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1299.1
2011/06,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1341.0
2011/07,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1399.9
2011/08,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1405.6
2011/09,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1378.7
2011/10,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1370.7
2011/11,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1356.4
2011/12,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1283.7
2012/01,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1194.2
2012/02,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1204.7
2012/03,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1203.0
2012/04,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1271.3
2012/05,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1347.3
2012/06,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1375.5
2012/07,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1413.3
2012/08,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1414.0
2012/09,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1401.4
2012/10,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1378.4
2012/11,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1355.8
2012/12,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1315.3
2013/01,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1244.1
2013/02,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1247.2
2013/03,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1247.2
2013/04,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1312.4
2013/05,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1399.4
2013/06,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1432.1
2013/07,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1462.4
2013/08,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1480.8
2013/09,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1449.0
2013/10,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1441.9
2013/11,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1393.6
2013/12,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1327.9
2014/01,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1254.6
2014/02,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1243.3
2014/03,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1269.3
2014/04,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1283.8
2014/05,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1364.9
2014/06,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1434.1
2014/07,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1454.9
2014/08,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1471.4
2014/09,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1455.8
2014/10,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1451.2
2014/11,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1411.0
2014/12,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1363.6
2015/01,Canada,"Total employed, all months (x 1,000)",Construction,Both sexes,1283.4
2010/01,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1678.0
2010/02,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1691.3
2010/03,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1671.1
2010/04,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1677.5
2010/05,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1721.8
2010/06,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1746.2
2010/07,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1750.0
2010/08,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1746.9
2010/09,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1715.3
2010/10,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1716.7
2010/11,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1701.7
2010/12,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1712.0
2011/01,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1690.3
2011/02,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1701.7
2011/03,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1701.3
2011/04,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1719.8
2011/05,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1756.1
2011/06,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1762.2
2011/07,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1759.4
2011/08,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1765.9
2011/09,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1726.0
2011/10,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1694.9
2011/11,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1692.1
2011/12,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1691.5
2012/01,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1668.8
2012/02,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1679.3
2012/03,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1694.9
2012/04,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1714.8
2012/05,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1759.6
2012/06,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1792.0
2012/07,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1807.0
2012/08,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1822.2
2012/09,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1777.2
2012/10,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1763.0
2012/11,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1745.8
2012/12,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1732.9
2013/01,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1700.4
2013/02,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1701.3
2013/03,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1695.6
2013/04,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1714.4
2013/05,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1737.7
2013/06,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1742.1
2013/07,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1760.4
2013/08,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1760.3
2013/09,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1725.0
2013/10,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1714.2
2013/11,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1716.7
2013/12,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1709.6
2014/01,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1679.1
2014/02,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1686.7
2014/03,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1679.6
2014/04,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1690.1
2014/05,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1715.3
2014/06,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1743.3
2014/07,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1758.0
2014/08,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1749.7
2014/09,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1714.2
2014/10,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1716.1
2014/11,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1708.6
2014/12,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1691.2
2015/01,Canada,"Total employed, all months (x 1,000)",Manufacturing,Both sexes,1669.8
2010/01,Canada,"Total employed, all months (x 1,000)",Trade,Both sexes,2634.9
2010/02,Canada,"Total employed, all months (x 1,000)",Trade,Both sexes,2614.3
2010/03,Canada,"Total employed, all months (x 1,000)",Trade,Both sexes,2619.6
2010/04,Canada,"Total employed, all months (x 1,000)",Trade,Both sexes,2662.7
2010/05,Canada,"Total employed, all months (x 1,000)",Trade,Both sexes,2697.9
2010/06,Canada,"Total employed, all months (x 1,000)",Trade,Both sexes,2737.9
2010/07,Canada,"Total employed, all months (x 1,000)",Trade,Both sexes,2720.0
2010/08,Canada,"Total employed, all months (x 1,000)",Trade,Both sexes,2730.4
2010/09,Canada,"Total employed, all months (x 1,000)",Trade,Both sexes,2672.2
