Ref_Date,GEO,NAICS,Vector,Coordinate,Value
1982/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,378961.8
1982/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,376906.4
1982/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,371738.4
1982/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,376318.1
1982/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,373355.5
1982/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,371731.4
1982/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,371635.5
1983/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,372779.7
1983/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,368572.2
1983/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,376180.6
1983/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,377781.4
1983/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,380481.1
1983/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,383949.8
1983/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,383435.4
1983/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,386834.9
1983/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,387445.3
1983/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,386304.4
1983/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,383901.9
1983/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,386207.8
1984/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,389959.0
1984/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,387240.2
1984/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,385167.9
1984/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,385263.1
1984/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,391108.3
1984/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,392581.1
1984/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,393163.6
1984/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,396820.4
1984/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,394655.1
1984/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,397254.5
1984/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,397379.4
1984/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,399912.4
1985/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,399399.8
1985/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,401305.1
1985/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,403753.3
1985/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,404716.3
1985/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,405580.2
1985/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,404013.5
1985/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,408951.5
1985/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,408345.9
1985/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,410351.7
1985/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,412022.2
1985/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,414685.6
1985/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,416635.9
1986/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,418665.5
1986/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,418155.1
1986/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,419000.0
1986/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,422914.4
1986/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,416762.7
1986/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,417527.4
1986/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,418626.9
1986/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,416972.8
1986/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,418778.3
1986/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,425154.6
1986/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,421276.0
1986/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,421655.9
1987/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,426275.5
1987/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,427395.1
1987/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,429547.5
1987/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,431653.6
1987/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,432385.4
1987/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,434702.7
1987/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,432485.9
1987/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,436087.7
1987/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,438696.5
1987/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,438773.8
1987/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,442848.4
1987/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,443398.4
1988/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,444352.1
1988/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,445282.5
1988/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,443098.0
1988/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,446211.7
1988/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,449236.0
1988/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,449274.8
1988/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,449884.9
1988/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,448046.7
1988/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,448081.9
1988/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,448147.8
1988/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,451651.6
1988/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,454725.7
1989/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,452746.7
1989/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,454256.7
1989/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,456405.3
1989/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,457140.2
1989/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,457030.5
1989/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,457126.1
1989/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,460507.8
1989/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,462094.0
1989/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,459242.4
1989/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,460849.3
1989/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,457656.7
1989/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,457123.8
1990/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,459084.4
1990/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,461185.0
1990/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,461266.0
1990/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,462305.6
1990/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,455763.3
1990/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,459352.5
1990/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,457358.5
1990/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,457642.4
1990/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,459928.8
1990/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,456954.1
1990/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,451091.5
1990/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,450382.1
1991/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,448691.9
1991/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,444587.5
1991/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,442669.1
1991/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,443496.7
1991/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,444649.9
1991/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,443130.4
1991/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,443100.7
1991/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,445306.1
1991/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,441312.5
1991/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,443617.4
1991/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,441928.4
1991/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,441695.2
1992/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,438274.0
1992/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,440570.6
1992/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,440053.5
1992/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,436447.9
1992/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,437445.6
1992/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,438627.1
1992/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,436540.0
1992/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,436394.9
1992/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,437197.5
1992/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,436396.4
1992/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,438995.6
1992/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,436971.2
1993/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,440619.7
1993/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,439809.4
1993/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,440476.6
1993/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,440483.5
1993/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,442260.0
1993/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,441186.0
1993/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,441767.1
1993/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,439902.4
1993/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,442969.9
1993/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,443490.2
1993/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,445957.2
1993/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,445342.7
1994/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,445531.3
1994/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,445594.2
1994/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,446702.1
1994/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,449516.9
1994/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,451613.3
1994/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,452098.7
1994/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,453998.3
1994/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,458173.3
1994/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,458642.0
1994/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,458784.8
1994/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,464227.6
1994/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,462858.8
1995/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,459678.5
1995/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,460317.3
1995/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,460596.5
1995/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,459937.0
1995/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,459333.5
1995/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,460493.8
1995/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,459727.1
1995/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,461107.6
1995/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,463284.0
1995/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,462701.2
1995/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,460024.9
1995/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,462013.8
1996/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,462253.7
1996/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,464480.2
1996/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,463615.9
1996/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,464380.0
1996/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,463347.9
1996/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,466466.0
1996/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,469824.4
1996/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,469674.2
1996/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,466103.5
1996/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,469920.1
1996/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,467873.3
1996/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,466958.6
1997/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,469365.8
1997/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,468861.7
1997/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,469386.5
1997/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,470238.1
1997/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,472562.2
1997/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,475323.3
1997/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,478432.5
1997/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,476882.7
1997/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,481342.4
1997/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,480930.1
1997/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,482733.4
1997/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,484602.2
1998/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,475197.3
1998/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,484399.9
1998/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,484026.0
1998/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,487395.1
1998/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,484599.1
1998/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,482333.9
1998/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,486125.5
1998/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,489066.7
1998/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,489014.2
1998/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,490859.3
1998/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,492245.5
1998/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,493604.8
1999/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,483325.5
1999/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,494545.7
1999/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,495625.3
1999/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,498712.9
1999/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,499277.5
1999/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,499948.2
1999/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,498350.0
1999/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,498477.5
1999/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,503420.4
1999/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,506341.1
1999/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,507024.9
1999/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,509669.8
2000/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,507912.6
2000/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,509235.6
2000/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,510995.0
2000/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,511982.5
2000/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,512144.1
2000/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,510427.2
2000/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,510411.4
2000/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,514387.6
2000/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,512040.4
2000/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,520195.6
2000/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,511914.0
2000/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,515100.4
2001/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,515923.4
2001/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,516691.5
2001/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,517441.5
2001/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,515924.1
2001/05,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,515555.7
2001/06,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,512567.0
2001/07,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,512323.8
2001/08,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,513450.9
2001/09,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,512708.3
2001/10,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,511496.9
2001/11,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,510943.3
2001/12,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,511261.3
2002/01,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,515235.4
2002/02,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,513803.5
2002/03,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,517441.3
2002/04,Canada,"Total actual hours worked, all industries (x 1,000)",v4391505,1.1,519282.6
